KID,LATITUDE,LONGITUDE,IP(DCA),B,D,Pressure,So,Sw,K,Porosity,Skin,Q,Shaliness
1034571306,39.0717732,-99.1956725,1719,0.003435934,4.037352,1041,0.72,0.287,43,0.0632,1.75,91,0.291
1044201991,39.067257,-99.187666,1092,0.003329045,4.034587,1055,0.71,0.205,18,0.0708,2.6,69,0.292
1030279085,39.0709231,-99.1988723,987,0.00314741,4.021576,941,0.619,0.253,18,0.0764,4.6,65,0.285
1044202001,39.0674192,-99.1946169,1805,0.002882371,4.017542,952,0.631,0.227,19,0.0893,1.32,63,0.15
1044201995,39.0708564,-99.1969858,1518,0.003068357,4.017713,915,0.741,0.216,15,0.0685,1.88,47,0.105
1030614685,39.0682297,-99.1934764,994,0.003506723,4.013387,910,0.777,0.245,49,0.0701,9.95,36,0.18
1001217673,39.0681351,-99.195704,1689,0.003039938,4.016073,1087,0.673,0.257,32,0.0781,1.5,25,0.105
1044202000,39.0690434,-99.1968536,1712,0.003186159,4.022329,1057,0.765,0.297,17,0.064,4.49,2,0.147
1001217671,39.0618198,-99.1958909,1304,0.002956717,4.050736,1074,0.608,0.249,14,0.0611,8.08,157000,0.173
1001218540,39.0653637,-99.1958218,1134,0.002869858,4.054031,952,0.744,0.287,23,0.0873,6.68,110929,0.195
1001218539,39.0653867,-99.1934965,1827,0.00352898,4.0604,1021,0.616,0.203,36,0.0664,5.84,31871,0.3
1001218541,39.0653415,-99.1980714,1697,0.003595992,4.761848,953,0.713,0.29,38,0.073,6.3,9353,0.203
1001218531,39.0718214,-99.1910677,2149,0.003569428,4.167224,936,0.772,0.207,23,0.0662,4.31,3430,0.216
1001218533,39.0699191,-99.1934532,2050,0.00350049,4.616748,1087,0.76,0.271,3,0.0678,4.36,3341,0.216
1001218537,39.0663735,-99.1864555,1663,0.003431473,4.428348,1007,0.715,0.251,50,0.0681,9.26,3339,0.227
1001218658,39.0718183,-99.1863647,1732,0.003541666,4.531554,1061,0.646,0.252,12,0.0764,1.05,3234,0.171
1001218529,39.0736066,-99.1863406,2100,0.003494578,4.42397,1056,0.729,0.234,3,0.0698,1.22,3197,0.152
1001218535,39.069965,-99.1888026,1521,0.003511383,4.817869,1059,0.666,0.28,16,0.0857,5.68,3191,0.259
1001218522,39.073566,-99.1910944,1877,0.003595274,4.259053,1025,0.744,0.218,33,0.0833,7.77,3166,0.23
1001218536,39.0699879,-99.1864773,1999,0.003541201,4.766159,1076,0.713,0.237,28,0.0603,6.35,3028,0.116
1001218528,39.0717321,-99.1934359,2030,0.003531379,4.410109,927,0.699,0.213,30,0.0735,5.96,2875,0.19
1001217809,39.0617607,-99.1935312,1616,0.003592424,4.716584,1081,0.696,0.269,25,0.0675,1.03,2540,0.202
1001217811,39.0654096,-99.1911712,2082,0.003441626,4.526782,965,0.638,0.267,31,0.0854,4.2,1675,0.211
1001218542,39.0654325,-99.1888459,2089,0.00344454,4.218896,1005,0.638,0.247,11,0.084,2.74,192,0.158
1044201997,39.0708411,-99.1875793,2030,0.003445544,4.386288,1002,0.74,0.266,40,0.0645,5.6,126,0.256
1001217672,39.0616919,-99.2005071,1649,0.003516655,4.299371,925,0.754,0.204,1,0.0686,6.53,100,0.298
1006047827,39.0664533,-99.1934805,2099,0.00357673,4.270918,1077,0.658,0.259,47,0.0673,7.12,64,0.248
1030279089,39.0608748,-99.1936806,1917,0.003487017,4.407498,948,0.606,0.296,25,0.0714,8.06,60,0.145
1027796263,39.0667166,-99.195668,2106,0.003426295,4.708532,926,0.622,0.216,13,0.0613,3.92,45,0.162
1001217810,39.0617085,-99.1893536,1577,0.00354493,4.226475,987,0.703,0.266,41,0.0611,1.34,35,0.118
1044201994,39.0726578,-99.1899404,1874,0.003498832,4.433134,1024,0.788,0.252,15,0.0708,7.79,34,0.114
1027929989,39.0635078,-99.1957409,2148,0.00347865,4.265672,1083,0.731,0.226,8,0.086,8.03,23,0.17
1006047825,39.0667755,-99.1956942,1778,0.003497447,4.328591,958,0.639,0.227,1,0.0674,5.26,20,0.119
1031996911,39.0726911,-99.1880966,1592,0.003484309,4.002784,1035,0.771,0.3,30,0.0772,5.5,16,0.276
1031314899,39.0646615,-99.1923867,1852,0.003462629,4.552544,1039,0.754,0.219,11,0.0837,3.92,15,0.29
1028444299,39.0664212,-99.1935888,1651,0.003575932,4.807095,1025,0.614,0.276,12,0.0678,3.17,13,0.282
1033827695,39.0645181,-99.1966179,2169,0.003429255,4.78747,936,0.672,0.261,9,0.061,6.49,12,0.207
1001218041,39.0635737,-99.1935139,2073,0.003448956,4.341506,960,0.616,0.281,29,0.0678,9.95,8,0.103
1031314897,39.0608438,-99.1971051,1603,0.003461553,4.764981,1001,0.605,0.269,13,0.0633,1.78,2.7,0.268
1031996909,39.063919,-99.1874654,2005,0.003557229,4.361344,970,0.649,0.294,26,0.0774,3.83,2.2,0.236
1032443539,39.0674656,-99.1990991,2059,0.003517744,4.240982,1004,0.717,0.21,30,0.0726,1.06,2,0.295
1044201996,39.0690284,-99.1876495,1587,0.003543354,4.47872,1072,0.664,0.231,16,0.0783,9.28,1,0.132
1033931186,39.0950848,-99.1334657,2081,0.003429177,4.94625,1017,0.682,0.25,35,0.0877,8.93,11,0.217
1006047899,39.0560384,-99.2182169,54,0.00101631,1.2346,1008,0.627,0.266,31,0.0658,1.88,8,0.138
1006044273,39.0835991,-99.2050129,98,0.001093654,1.325269,1032,0.67,0.272,11,0.0653,5.95,15,0.21
1006044275,39.08262,-99.19923,70,0.001108941,1.278984,968,0.72,0.222,26,0.0787,7.44,15,0.221
1006046936,39.08297,-99.1969,73,0.001017538,1.25116,945,0.701,0.203,13,0.0828,4.33,13.7,0.185
1006044277,39.07627,-99.20039,85,0.001038732,1.305923,1011,0.647,0.242,38,0.0865,2.41,15,0.231
1006047673,39.0762,-99.20236,99,0.001097196,1.246029,1024,0.645,0.211,44,0.0714,2.08,10,0.273
1006044279,39.07537,-99.1969,68,0.00110709,1.248919,921,0.677,0.216,39,0.0889,4.74,15,0.101
1006046940,39.0787661,-99.1965376,65,0.00109835,1.245592,959,0.73,0.237,45,0.0804,8.07,8,0.255
1006046541,39.0835344,-99.1898283,76,0.001046722,1.287482,1075,0.718,0.284,36,0.0802,7.93,27,0.128
1006046681,39.0799126,-99.1921917,99,0.001026156,1.251602,1022,0.628,0.219,46,0.0712,8.28,20,0.229
1006046683,39.0799089,-99.1898662,50,0.001052461,1.297017,1086,0.787,0.231,5,0.0708,7.28,18,0.267
1006046721,39.0789987,-99.1875501,71,0.001029798,1.239376,972,0.736,0.243,25,0.063,1.65,10,0.174
1006046597,39.0835382,-99.1921538,54,0.001067075,1.317769,1029,0.671,0.206,19,0.0771,6.32,7,0.187
1001216428,39.0807483,-99.2072696,70,0.001021773,1.29844,920,0.721,0.263,15,0.0686,8.47,2448,0.21
1007451099,39.077008,-99.2117821,54,0.001077228,1.308945,1051,0.743,0.248,12,0.0818,6.07,2416,0.156
1043452731,39.0791516,-99.2095725,79,0.001071756,1.297854,913,0.717,0.3,35,0.0832,1.22,2381,0.177
1001218396,39.0789649,-99.2050336,98,0.001053641,1.266702,1072,0.698,0.28,22,0.086,5.54,2270,0.171
1001218652,39.080805,-99.2050393,70,0.001049705,1.272442,968,0.615,0.291,33,0.0648,7.41,2195,0.181
1001216427,39.0771824,-99.2049222,56,0.001104888,1.328007,1017,0.718,0.249,29,0.0718,4.17,2117,0.23
1031902315,39.0788177,-99.211904,63,0.00104608,1.261778,1000,0.745,0.294,5,0.0631,1.6,2092,0.153
1001218398,39.0753104,-99.2072489,74,0.001040974,1.249649,1021,0.8,0.252,30,0.0801,1.99,2021,0.189
1001218400,39.0786611,-99.2072595,76,0.001037842,1.259839,1041,0.682,0.292,35,0.0877,5.42,1710,0.286
1001218399,39.0771231,-99.2072546,82,0.001061485,1.253911,978,0.789,0.274,17,0.0772,8.22,1708,0.286
1001218408,39.0878731,-99.2049561,98,0.001066493,1.28024,1042,0.654,0.214,11,0.0728,2.42,1686,0.114
1002911256,39.0752605,-99.2092149,76,0.001054708,1.256549,998,0.603,0.293,14,0.0756,4.96,1494,0.102
1001218409,39.0878809,-99.2119326,68,0.001020634,1.261456,935,0.623,0.272,37,0.0691,4.8,1193,0.178
1001218412,39.0879401,-99.2096072,100,0.001038929,1.331095,911,0.767,0.224,25,0.082,9.38,1189,0.188
1001219127,39.1316041,-99.3130502,89,0.001103136,1.311481,1079,0.634,0.248,23,0.0724,6.54,75,0.103
1001218411,39.0879992,-99.2072818,73,0.001036245,1.236221,1065,0.796,0.218,21,0.0682,4.44,55,0.143
1001217674,39.0506731,-99.2144734,62,0.001063467,1.243346,948,0.674,0.275,11,0.0774,7.88,25,0.151
1006046922,39.0705312,-99.2157158,78,0.001083238,1.313606,905,0.635,0.256,1,0.0807,1.28,20,0.164
1001216429,39.0751924,-99.2118926,73,0.001030569,1.306169,938,0.798,0.273,19,0.0741,1.95,16,0.107
1008370328,39.0860256,-99.2084393,97,0.001075513,1.329541,965,0.791,0.294,12,0.0632,7.89,15,0.255
1044210472,39.062364,-99.2213124,70,0.001085818,1.25248,1069,0.744,0.297,22,0.0792,4.76,5,0.184
1006040492,39.0468604,-99.2051953,52,0.001071164,1.307003,933,0.77,0.281,11,0.0769,7.58,12,0.17
1001217824,39.0606039,-99.2167408,65,0.001025188,1.282472,990,0.691,0.275,12,0.079,8.68,158,0.134
1001218407,39.0805086,-99.2197211,77,0.001073302,1.249697,989,0.684,0.268,44,0.0844,2.78,5126,0.183
1001218405,39.076968,-99.2188608,89,0.001101117,1.281399,954,0.619,0.215,28,0.0845,2.91,2434,0.238
1001218406,39.0788574,-99.2212522,77,0.001052198,1.254745,929,0.63,0.286,17,0.0786,5.86,2116,0.178
1001218571,39.0660437,-99.2166232,61,0.001071795,1.283165,940,0.748,0.261,9,0.0787,3.06,1974,0.18
1001215587,39.0896628,-99.2072768,82,0.001041218,1.319218,934,0.651,0.222,47,0.0695,6.79,1665,0.11
1001218650,39.075015,-99.2188687,51,0.00104075,1.264106,958,0.617,0.251,17,0.0729,6.63,1540,0.19
1001215588,39.0896418,-99.2093813,88,0.001023868,1.267739,1009,0.726,0.291,39,0.0831,1.53,1369,0.219
1001218573,39.0659896,-99.2213127,55,0.001098721,1.295074,963,0.753,0.261,6,0.0828,5.83,1020,0.139
1035851512,39.0896859,-99.2049506,59,0.001020789,1.235583,924,0.679,0.219,10,0.069,9.58,890,0.233
1001215589,39.0896164,-99.2119293,100,0.001023684,1.278671,1032,0.788,0.294,23,0.0823,6.35,664,0.174
1001217823,39.0642301,-99.2166881,89,0.001048579,1.307821,1008,0.613,0.298,43,0.068,6.41,194,0.213
1001217821,39.0615373,-99.2144022,83,0.00110367,1.307921,992,0.725,0.244,31,0.075,5.66,154,0.204
1001217822,39.0637993,-99.2143715,55,0.001100542,1.280446,941,0.704,0.221,37,0.0694,6.29,134,0.104
1006047475,39.0788371,-99.2054137,63,0.001024236,1.290617,937,0.615,0.3,21,0.0689,8.6,114,0.165
1001217826,39.0605637,-99.220229,70,0.001055601,1.248209,1005,0.773,0.207,33,0.0613,8.44,113,0.278
1035851513,39.0896859,-99.2049506,69,0.001036699,1.254782,1008,0.795,0.208,1,0.0701,7.63,91,0.223
1001216431,39.0806384,-99.2106201,56,0.001109671,1.306955,1016,0.727,0.297,46,0.067,5.21,81,0.177
1001217825,39.0642033,-99.2190136,85,0.001033215,1.295013,936,0.661,0.267,46,0.0647,5.92,75,0.185
1031431083,39.0788177,-99.211904,67,0.001111581,1.316653,981,0.67,0.239,45,0.0765,4.52,46,0.186
1006047579,39.0768088,-99.2062213,50,0.001022818,1.302952,984,0.712,0.272,11,0.0705,9.86,30,0.236
1006042774,39.0748821,-99.2186921,76,0.001054533,1.271355,1030,0.69,0.21,8,0.0798,7.27,4,0.3
1001215583,39.0897648,-99.1979131,94,0.001060561,1.252423,1100,0.714,0.263,25,0.0674,1.79,2380,0.295
1001218464,39.0844559,-99.1991208,72,0.001030191,1.251838,1029,0.624,0.225,24,0.0778,3.35,2226,0.139
1001215584,39.0897915,-99.1955871,66,0.001088631,1.28866,920,0.695,0.265,6,0.0844,4.76,2012,0.172
1001215582,39.0895352,-99.2004542,71,0.001056763,1.276598,992,0.699,0.21,20,0.0841,9.31,1800,0.128
1001215580,39.0915238,-99.2026072,89,0.001093706,1.26254,1033,0.683,0.289,14,0.0749,3.73,1671,0.186
1001215581,39.0933368,-99.2025902,62,0.001106538,1.322111,1082,0.672,0.239,48,0.0673,8.44,1196,0.256
1001217681,39.054299,-99.2144542,89,0.001041506,1.287474,1080,0.646,0.227,33,0.078,4.75,198,0.196
1001218598,39.057004,-99.2156021,52,0.001084432,1.308804,1084,0.688,0.212,10,0.0636,2.48,128,0.208
1001217683,39.0587737,-99.2190796,87,0.001115708,1.234688,1029,0.666,0.236,17,0.0731,7.51,126,0.115
1006042376,39.0951984,-99.1983361,52,0.001092348,1.262191,953,0.677,0.268,11,0.0744,7.16,21,0.123
1006041986,39.0920098,-99.1985475,69,0.001036441,1.26471,1038,0.732,0.225,7,0.0775,6.81,17,0.197
1001216425,39.0805121,-99.2165605,77,0.001114104,1.319082,935,0.761,0.245,14,0.0704,6.5,31946,0.161
1001216421,39.0751166,-99.2164906,93,0.001059163,1.325307,944,0.738,0.223,43,0.0818,5.18,3093,0.11
1001216422,39.0769459,-99.2142237,93,0.001061033,1.334522,1009,0.783,0.291,26,0.0616,9.45,3073,0.225
1001216423,39.0788082,-99.2141133,92,0.001064699,1.275863,1003,0.74,0.295,46,0.0617,8.37,2797,0.174
1001216420,39.0751172,-99.2140911,98,0.00108777,1.317348,1046,0.613,0.268,24,0.0685,2.54,2734,0.212
1001218445,39.0772029,-99.1980339,61,0.001068499,1.300367,1078,0.713,0.259,15,0.0669,5.56,2706,0.155
1001218449,39.0790119,-99.1956894,58,0.001059839,1.307976,988,0.766,0.245,12,0.0773,8.08,2649,0.134
1001218447,39.0753864,-99.1957273,82,0.001084552,1.283183,1046,0.77,0.275,16,0.0612,8.85,2565,0.186
1001218446,39.0753901,-99.1980528,97,0.00109062,1.261954,964,0.729,0.256,4,0.0819,7.38,2496,0.195
1001218448,39.0771991,-99.1957084,66,0.001046715,1.252026,1082,0.679,0.279,4,0.0873,2.62,2478,0.157
1001218444,39.0790157,-99.1980149,85,0.001053664,1.328192,1067,0.776,0.271,8,0.0828,9.54,2383,0.186
1001218443,39.0808285,-99.197996,92,0.001093693,1.266905,1081,0.741,0.248,23,0.0621,5.29,2347,0.233
1001218450,39.0808247,-99.1956705,61,0.001029865,1.261238,1085,0.702,0.254,12,0.0733,7.36,1528,0.192
1001216426,39.0803891,-99.2141605,95,0.001080236,1.267379,1079,0.628,0.3,38,0.066,1.39,69,0.165
1001216424,39.0768867,-99.2165491,53,0.001052943,1.251526,1000,0.616,0.265,13,0.063,8.84,58,0.238
1001218410,39.0862457,-99.2049508,71,0.001045533,1.310585,936,0.707,0.299,9,0.0763,7.71,2260,0.222
1001218544,39.0660969,-99.2120108,74,0.001057118,1.31928,1006,0.6,0.257,7,0.0821,5.51,1045,0.244
1001217816,39.0652172,-99.2096986,62,0.001034619,1.275409,1040,0.616,0.253,20,0.0612,2.67,660,0.176
1001217817,39.0625244,-99.2074126,95,0.001073189,1.31345,992,0.76,0.232,18,0.0733,7.17,204,0.253
1001217813,39.0642838,-99.2120372,78,0.001034993,1.257124,911,0.687,0.251,29,0.0829,5.94,200,0.12
1001217812,39.0607247,-99.2062763,94,0.001086368,1.321373,950,0.724,0.22,42,0.076,3.28,135,0.166
1001217675,39.0511964,-99.2121461,60,0.001041372,1.323763,1066,0.704,0.207,48,0.0707,6.31,127,0.176
1001217819,39.0643509,-99.2062235,97,0.001034379,1.26818,956,0.674,0.259,13,0.0727,1.58,106,0.197
1001217680,39.0470761,-99.212168,67,0.001073766,1.276181,978,0.688,0.242,11,0.081,6.37,45,0.225
1001218395,39.0879696,-99.2084445,99,0.001026708,1.246769,1090,0.605,0.271,35,0.0623,3.46,25,0.22
1001218543,39.0661775,-99.2050345,97,0.0010851,1.252103,902,0.675,0.22,26,0.0603,2.04,15,0.185
1001218548,39.0732688,-99.2188817,86,0.001039902,1.289453,1049,0.641,0.202,26,0.0735,4.68,2186,0.13
1001218547,39.0714557,-99.2189081,92,0.001039552,1.260853,906,0.686,0.217,11,0.0835,3.25,1915,0.269
1001218545,39.0678295,-99.2189608,85,0.001091004,1.279864,1095,0.729,0.281,9,0.0805,7.81,1351,0.194
1001218549,39.0678027,-99.2212863,51,0.001093515,1.329373,927,0.686,0.237,28,0.0862,3.94,1071,0.122
1001218546,39.0696426,-99.2189345,96,0.001066509,1.256345,1050,0.791,0.234,37,0.0647,7.95,840,0.137
1001217815,39.0606844,-99.2097645,84,0.001054712,1.265167,1019,0.62,0.201,25,0.0818,8.34,854,0.156
1001217677,39.0588601,-99.2121053,88,0.001104005,1.301919,1043,0.797,0.206,15,0.0792,5.65,596,0.248
1001217676,39.0543278,-99.2121294,54,0.00110132,1.304372,1026,0.605,0.275,2,0.0868,8.93,584,0.162
1001217679,39.0571192,-99.2063031,75,0.001103856,1.321487,1008,0.718,0.259,28,0.0661,5.13,240,0.161
1001217759,39.0552919,-99.2074751,92,0.001090879,1.254078,905,0.707,0.243,25,0.0729,4.19,195,0.299
1001217678,39.0589177,-99.2074558,90,0.00106618,1.277015,997,0.619,0.29,32,0.0865,9.16,139,0.276
1001218596,39.0570616,-99.2109526,71,0.001078499,1.319603,1097,0.692,0.254,26,0.0769,5.1,139,0.165
1001217814,39.0624707,-99.2120636,76,0.001094633,1.245296,931,0.716,0.217,35,0.0689,9.48,102,0.193
1001217758,39.0552631,-99.2097998,97,0.001060262,1.261236,1005,0.728,0.282,15,0.0602,8.53,76,0.201
1001217760,39.0544142,-99.2051552,79,0.001113735,1.320443,1096,0.695,0.254,33,0.0717,4.29,47,0.208
1001218595,39.046298,-99.2144509,108,0.01468729,14.8534,971,0.672,0.25,19,0.0709,9.65,1125,0.119
1001218749,39.0389172,-99.2122649,130,0.01545428,15.1245,1015,0.663,0.207,32,0.0611,2.58,1114,0.239
1044248384,39.0439958,-99.2213596,148,0.016584404,16.584,923,0.677,0.266,42,0.0778,2.85,27,0.247
1033660795,39.0705046,-99.2180192,136,0.019568423,19.246,1089,0.762,0.291,44,0.0848,2.72,15.5,0.111
1032644360,39.0664579,-99.209293,69,0.0139896,14.2599,965,0.797,0.234,10,0.0803,9.98,22,0.261
1001218763,39.0343604,-99.2296853,102,0.019302862,22.694135,1032,0.661,0.293,12,0.0648,9.23,130,0.277
1001218623,39.1303273,-99.2640113,104,0.015697679,14.334229,988,0.672,0.206,20,0.0649,9.79,5086,0.133
1035939932,39.1321027,-99.2663391,92,0.020632709,23.32292,1026,0.64,0.246,4,0.0831,9.01,1890,0.291
1006047989,39.1321649,-99.2674374,122,0.018171189,17.707861,1022,0.755,0.283,9,0.0872,1.43,138.61,0.185
1001218053,39.1285047,-99.2663691,112,0.022307425,19.285722,1084,0.756,0.268,42,0.0803,6.32,87,0.26
1001217842,39.1312337,-99.263996,103,0.015311941,16.474078,933,0.786,0.258,6,0.0819,4.63,25,0.151
1001218621,39.1267014,-99.2640726,462,0.00829957,9.0303,1058,0.784,0.233,21,0.0679,9.74,15,0.153
1001218624,39.1266918,-99.2663997,649,0.01194936,10.338398,1014,0.74,0.258,50,0.0786,8.88,15,0.232
1001218625,39.118553,-99.2618834,581,0.011398072,10.079113,983,0.652,0.245,38,0.0896,4.1,14884,0.28
1001218322,39.1221788,-99.2618221,498,0.011364796,9.248489,1050,0.726,0.237,11,0.0671,1.03,10737,0.168
1001218323,39.1194691,-99.2595409,486,0.011755848,12.216459,1003,0.795,0.223,22,0.0744,3.99,6997,0.235
1001218324,39.1230949,-99.2594796,631,0.011653183,9.102086,1027,0.797,0.269,19,0.0667,6.71,6200,0.131
1006040332,39.1201194,-99.2616806,581,0.00920966,12.518369,916,0.777,0.263,10,0.0747,8.93,35,0.113
1001217841,39.1185626,-99.2595562,632,0.009174536,12.484383,1091,0.657,0.296,15,0.0878,5.38,25,0.293
1001289445,39.1411666,-99.2589943,502,0.009749052,12.13917,1083,0.736,0.284,3,0.0726,4.3,123,0.18
1001218326,39.1303369,-99.2616842,614,0.008994879,12.866011,1056,0.631,0.266,41,0.0795,9.91,1643,0.272
1001218325,39.1267111,-99.2617454,535,0.009737383,12.661284,1032,0.797,0.224,2,0.09,7.86,1116,0.277
1001218040,39.060845,-99.1911374,1827,0.00352898,4.0604,959,0.79,0.25,33,0.081,3.26,144,0.25
1001217691,39.0547665,-99.1865522,121,0.01130054,15.5777,914,0.613,0.254,16,0.0701,8.72,1340,0.161
1036125005,39.0509753,-99.1866084,135,0.01450054,19.5777,1071,0.621,0.241,48,0.088,3.71,140,0.216
